Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"4,140","4,280","4,930","3,380","3,220","3,690","1,940","1,220","2,740","3,430"
Albania,"7,620","10,620","13,900","12,740","15,950","20,010","10,520","7,990","14,650","23,320"
Algeria,"10,800","11,770","12,710","10,880","11,470","14,120","5,270",860,"5,520","15,710"
American Samoa,530,940,"1,630",400,880,"1,910",730,550,"2,300","3,060"
Andorra,"1,850","1,590","1,840","1,800","2,360","2,580","1,090",200,"2,000","2,700"
Angola,"14,720","13,210","10,330","8,380","7,670","7,790","2,710","1,440","3,670","5,650"
Anguilla,"1,280",890,"1,190",860,"1,140","2,210",880,520,"1,640","2,200"
Antigua and Barbuda,"15,990","15,770","18,150","13,840","13,930","19,020","8,400","6,180","13,780","17,140"
Argentina,"807,520","844,520","1,027,500","883,430","854,090","990,910","391,690","254,360","601,140","674,230"
Armenia,"7,450","8,000","9,760","9,010","8,820","15,600","9,230","8,800","11,090","17,020"
Aruba,"19,930","14,300","12,520","8,840","20,070","26,200","14,870","15,970","24,700","24,020"
Australia,"1,444,410","1,344,250","1,386,230","1,492,320","1,550,050","1,517,030","600,910","37,920","521,030","1,037,060"
Austria,"227,190","199,500","213,800","222,100","226,140","227,370","88,970","15,820","138,000","188,250"
Azerbaijan,"7,430","7,860","8,050","6,390","6,690","8,820","3,700","2,280","4,960","8,580"
Bahamas,"252,580","260,130","285,470","273,020","264,990","323,780","146,660","126,480","226,210","302,070"
Bahrain,"10,010","10,710","11,380","9,080","9,800","9,990","3,630","3,280","7,220","8,150"
Bangladesh,"38,310","38,810","39,220","32,100","35,220","38,020","16,120","18,000","36,680","52,490"
Barbados,"63,710","63,630","68,940","52,800","47,640","72,500","29,300","10,280","38,010","49,060"
Belarus,"14,080","15,950","19,900","15,580","16,970","23,450","10,750","2,630","4,790","9,620"
Belgium,"329,270","296,440","294,180","314,490","334,660","330,650","122,650","15,960","206,680","280,590"
Belize,"26,770","28,080","31,510","25,740","25,760","34,290","14,090","13,600","28,920","36,730"
Benin,"2,750","3,010","2,970","2,460","2,320","2,540","1,190",570,"1,200","2,050"
Bermuda,"88,880","92,240","88,900","85,700","102,160","107,170","51,270","25,780","60,520","80,090"
Bhutan,940,"1,070","1,000",970,960,"1,130",430,140,310,750
Bolivia,"54,390","64,650","74,440","68,700","65,070","82,550","34,510","52,130","64,430","73,720"
Bonaire,360,300,350,340,670,"1,830",860,500,"1,850","2,360"
Bosnia and Herzegovina,"8,100","8,450","9,130","8,820","9,330","10,370","4,900","2,500","6,140","8,700"
Botswana,"2,520","2,920","2,930","2,490","2,510","3,060","1,280",360,"1,770","3,120"
Brazil,"2,462,620","2,569,480","2,020,980","1,842,390","2,066,560","2,409,100","1,068,360","104,620","1,048,620","1,642,440"
Brunei,"2,150","1,950","1,750","1,480","1,590","1,690",660,170,630,"1,240"
Bulgaria,"37,990","39,200","40,600","35,380","34,200","41,380","18,930","8,930","21,680","34,860"
Burkina Faso,"4,830","5,930","6,800","4,390","3,950","4,790","1,720","1,190","2,270","2,910"
Burma,"6,170","7,060","8,970","10,520","10,460","12,140","5,040","1,580","3,390","7,980"
Burundi,"1,930","2,020","1,820","2,480","1,830","2,010","1,010",610,810,"1,220"
Cabo Verde,"5,080","4,740","5,830","5,390","4,890","5,060","1,520",740,"2,560","4,000"
Cambodia,"4,730","3,820","5,680","4,730","5,520","7,880","3,200","1,300","6,800","11,560"
Cameroon,"9,010","10,680","12,560","12,300","10,640","9,230","3,790","1,260","5,320","9,740"
Canada,"9,305,180","8,828,590","9,200,000","11,650,520","13,819,360","14,047,570","6,812,810","1,509,670","7,114,360","14,025,780"
Cayman Islands,"53,500","46,070","42,230","32,480","48,860","84,840","37,200","5,700","41,430","68,320"
Central African Republic,570,770,650,530,450,"1,250","1,000",690,"1,470","2,930"
Chad,"1,110","1,140","1,110","1,040",840,"1,100",380,300,720,"1,690"
Chile,"289,160","358,800","396,840","402,820","438,320","477,910","211,340","173,470","501,040","490,960"
"China, People's Republic","2,311,010","2,688,750","3,003,720","2,797,470","2,829,870","2,972,510","940,870","167,830","298,640","970,560"
Christmas Island,40,40,50,30,20,30,20,10,20,20
Cocos (Keeling) Islands,60,40,40,30,40,60,30,30,50,140
Colombia,"960,670","972,480","932,970","896,090","894,320","1,081,550","432,840","863,400","1,061,890","935,460"
